"","m","impact.wave1","events.wave1","ee_concerns.wave1","country","impact.wave2","energy_price","percent_energy","gas_price","percent_gas","ee_concerns.wave2","events.wave2","n","ee_concerns.diff","impact.diff"
"237",229320605936763,2,348,5,"Germany",3,2,30,3,NA,5,3204,1,0,-1
"238",229320605936769,2,1348,6,"Germany",1,2,100,2,70,6,13202148922,1,0,1
"239",229320605936770,1,34,6,"Germany",1,2,100,2,100,6,34,1,0,0
"240",229320605937798,3,34,5,"Germany",3,2,25,2,20,5,320214,1,0,0
"241",229320605937806,3,348,6,"Germany",3,2,4,2,4,6,34,1,0,0
"242",229320605938843,2,49,5,"Germany",3,3,NA,2,2,4,2021,1,1,-1
"243",229320605938852,3,348,4,"Germany",4,2,40,2,40,6,320214822,1,-2,-1
"244",229320605938856,3,11,2,"Germany",3,3,NA,3,NA,3,202148,1,-1,0
"245",229320605939886,3,34,4,"Germany",4,2,23,2,27,3,321489,1,1,-1
"246",229320605939889,4,348,3,"Germany",4,2,30,2,40,2,48,1,1,0
"247",229320605940935,1,34,6,"Germany",3,2,60,2,10,6,348,1,0,-2
"248",229320605940944,3,3,5,"Germany",3,3,NA,3,NA,4,3202148,1,1,0
"249",229320605941974,3,349,6,"Germany",3,2,90,2,90,4,2148922,1,2,0
"250",229320605943020,2,348,6,"Germany",1,2,1,2,1,6,13204822,1,0,1
"251",229320605943813,2,2,6,"Germany",4,2,50,2,50,4,18,1,2,-2
"252",229320605944858,3,89,6,"Germany",3,4,20,4,40,4,2148922,1,2,0
"253",229320605945902,1,48,6,"Germany",1,2,100,2,100,5,4822,1,1,0
"254",229320605946949,2,11,6,"Germany",1,4,5,4,5,6,20214,1,0,1
"255",229320605949033,4,48,5,"Germany",3,2,10,2,5,5,34822,1,0,1
"256",229320605949036,1,489,6,"Germany",3,2,10,3,NA,6,11,1,0,-2
"257",229320605949038,3,4,6,"Germany",2,3,NA,2,7,5,3202148,1,1,1
"258",229320605950073,3,4,6,"Germany",4,4,10,4,30,5,2148,1,1,-1
"259",229320605952170,1,34,5,"Germany",1,2,10,2,5,6,4,1,-1,0
"260",229320605953205,2,489,6,"Germany",1,2,20,2,20,6,3489,1,0,1
